"harmonic","aspect_degree","dms","name","prime","prime_factorization","natal_definition","transit_definition","harmony_definition","source"
"331","1.087613","1° 05' 15""","—","Yes","331","Prime H331: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"332","1.084337","1° 05' 04""","—","No","2^2 × 83","Blend of prime factors: H2² (pressure/polarity) + H83 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 83 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2^2 × 83 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"333","1.081081","1° 04' 52""","—","No","3^2 × 37","Blend of prime factors: H3² (ease/flow) + H37 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3^2 × 37 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","3^2 × 37 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"334","1.077844","1° 04' 40""","—","No","2 × 167","Blend of prime factors: H2 (pressure/polarity) + H167 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 167 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2 × 167 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"335","1.074627","1° 04' 29""","—","No","5 × 67","Blend of prime factors: H5 (creative form) + H67 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 5 × 67 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","5 × 67 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"336","1.071429","1° 04' 17""","—","No","2^4 × 3 × 7","Blend of prime factors: H2^4 (pressure/polarity) + H3 (ease/flow) + H7 (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^4 × 3 × 7 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2^4 × 3 × 7 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"337","1.068249","1° 04' 06""","—","Yes","337","Prime H337: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"338","1.065089","1° 03' 54""","—","No","2 × 13^2","Blend of prime factors: H2 (pressure/polarity) + H13² (transformation/lordship). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 13^2 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2 × 13^2 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"339","1.061947","1° 03' 43""","—","No","3 × 113","Blend of prime factors: H3 (ease/flow) + H113 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 113 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","3 × 113 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"340","1.058824","1° 03' 32""","—","No","2^2 × 5 × 17","Blend of prime factors: H2² (pressure/polarity) + H5 (creative form) + H17 (narrative reconfiguration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 5 × 17 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2^2 × 5 × 17 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"341","1.055718","1° 03' 21""","—","No","11 × 31","Blend of prime factors: H11 (Uranian excess) + H31 (limits of systems). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 11 × 31 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","11 × 31 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"342","1.052632","1° 03' 09""","—","No","2 × 3^2 × 19","Blend of prime factors: H2 (pressure/polarity) + H3² (ease/flow) + H19 (abstract cerebral). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 3^2 × 19 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2 × 3^2 × 19 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"343","1.049563","1° 02' 58""","—","No","7^3","7³: septile cubed — fate at maximum depth; the most extreme karmic compulsion layer. Life entirely shaped by destiny forces.","Fate cubed — inescapable karmic activation.","7³ — triple-depth fate resonance; the deepest karmic harmonic.","Derived (factor blend)"
"344","1.046512","1° 02' 47""","—","No","2^3 × 43","Blend of prime factors: H2³ (pressure/polarity) + H43 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^3 × 43 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2^3 × 43 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"345","1.043478","1° 02' 37""","—","No","3 × 5 × 23","Blend of prime factors: H3 (ease/flow) + H5 (creative form) + H23 (novel configurations). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 3 × 5 × 23 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","3 × 5 × 23 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"346","1.040462","1° 02' 26""","—","No","2 × 173","Blend of prime factors: H2 (pressure/polarity) + H173 (unique prime). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 173 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2 × 173 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"347","1.037464","1° 02' 15""","—","Yes","347","Prime H347: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"348","1.034483","1° 02' 04""","—","No","2^2 × 3 × 29","Blend of prime factors: H2² (pressure/polarity) + H3 (ease/flow) + H29 (paradigm options). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2^2 × 3 × 29 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2^2 × 3 × 29 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
"349","1.031519","1° 01' 53""","—","Yes","349","Prime H349: irreducible qualitative resonance; standalone instinctual pattern. Following Cochrane's prime trajectory (17→19→23→29→31→…), this harmonic operates as a subliminal perceptual re-configuration active at extremely tight orbs (<0.3°). Empirical definition unavailable; treat as supplementary nuance.","Rare prime timing; singular subliminal trigger. Active only at exact arc-minute contact.","Irreducible prime — unique vibrational frequency without composite decomposition. Depth: instinctual (Freedman gradient).","Derived (prime extrapolation)"
"350","1.028571","1° 01' 43""","—","No","2 × 5^2 × 7","Blend of prime factors: H2 (pressure/polarity) + H5² (creative form) + H7 (fate/inspiration). Following Hamblin's principle that composite harmonics combine their prime qualities. Operates at deep subliminal level per Cochrane/Freedman (H37+ = instinctual/unconscious).","Subliminal composite trigger: 2 × 5^2 × 7 quality blend activates at tight orb (<0.05°). Active only at near-exact contact.","2 × 5^2 × 7 — vibrational blend of constituent prime harmonics. Depth: instinctual (Freedman gradient).","Derived (factor blend)"
